"160" "  66  70  76  82  86  92  97 103 109 115 121 126 132 140 146 154 161 167 173 181 188 196 206"
"170" "  75  78  84  90  94 100 106 111 117 123 129 135 140 148 154 162 170 175 181 189 197 204 214"
"180" "  83  87  93  98 102 108 114 120 126 131 137 143 149 157 162 170 178 184 189 197 205 213 222"
"190" "  91  95 101 107 111 116 122 128 134 140 145 151 157 165 171 178 186 192 198 205 213 221 231"
"200" "  99 103 109 115 119 125 130 136 142 148 154 159 165 173 179 187 194 200 206 214 221 229 239"
"210" " 108 112 117 123 127 133 139 144 150 156 162 168 174 181 187 195 203 208 214 222 230 238 247"
"220" " 116 120 126 131 135 141 147 153 159 164 170 176 182 190 195 203 211 217 223 230 238 246 255"
"230" " 124 128 134 140 144 149 155 161 167 173 178 184 190 198 204 211 219 225 231 239 246 254 264"
"240" " 132 136 142 148 152 158 163 169 175 181 187 193 198 206 212 220 227 233 239 247 255 262 272" 
"250" " 141 145 150 156 160 166 172 178 183 189 195 201 207 214 220 228 236 241 247 255 263 271 280"
"260" " 138 143 149 156 161 167 174 181 188 195 201 208 215 224 231 240 249 256 262 271 280 289 301"
"270" " 146 151 158 164 169 176 182 189 196 203 210 216 223 232 239 248 257 264 271 280 289 298 309"
"280" " 155 159 166 173 177 184 191 198 204 211 218 225 231 240 247 256 265 272 279 288 297 306 317"
"290" " 163 167 174 181 185 192 199 206 213 219 226 233 240 249 255 265 274 280 287 296 305 314 326"
"300" " 171 176 182 189 194 200 207 214 221 228 234 241 248 257 264 273 282 289 295 304 313 323 334"
"310" " 179 184 191 197 202 209 216 222 229 236 243 249 256 265 272 281 290 297 304 313 322 331 342"
"320" " 188 192 199 206 210 217 224 231 237 244 251 258 264 274 280 289 298 305 312 321 330 339 350"
"330" " 196 200 207 214 218 225 232 239 246 252 259 266 273 282 289 298 307 313 320 329 338 347 359"
"340" " 204 209 215 222 227 234 240 247 254 261 267 274 281 290 297 306 315 322 328 338 347 356 367" 
