!File Type,Version Number Major,Version Number Minor,Version Number Build,
~Stock Code File,1,5,1,
!Last Updated,20040313,,,
!Code,Desc, Hire , Sale ,Kg
112850,BRACE HORIZONTAL 3.0 (Y),$5.46,$110.90,3.9
112862,BRACE PLAN 1.35 x 1.9 (R),$5.46,$93.89,3.1
112863,BRACE PLAN 1.35 x 3.0 (R),$5.46,$117.06,4.2
112864,BRACE PLAN 1.9 x 1.9 (R),$5.46,$101.65,3.5
112865,BRACE PLAN 1.9 x 3.0 (R),$5.46,$122.51,4.5
112866,BRACE PLAN 3.0 x 3.0 (R),$5.46,$119.03,5
112905,CASTOR CUP NUT,$0.29,$18.97,0
112910,FRAME SPIGOT,$0.19,$11.67,0.3
112944,AL TWR GRASPER SPRING,$0.06,$0.32,0
112945,AL TWR GRASPER SPLIT PIN,$0.06,$0.18,0
112949,SCREWJACK TOMMY BAR,$0.07,$5.67,0
112950,SCREWJACK GRUB SCREW 6MM,$0.03,$2.44,0
114001,CRADLE END HANGER HDG,$13.39,$329.33,11.5
114002,CRADLE MODULE 1.8M ALUM,$44.64,"$1,108.89",39
114003,CRADLE MODULE 0.9M ALUM,$22.31,$767.17,23
114010,PLATFORM 2 MAN 0.9 x 0.9M,$55.80,"$1,219.48",85.5
114015,BOSUN'S CHAIR,$33.47,$558.01,14
114100,MILTRACK TRACK BEAM,$3.36,$125.08,9
114101,MILTRACK END BEAM ASSEMBLY,$3.57,$280.97,10
114102,MILTRACK SUSPEN ASSEMBLY,$2.65,$143.62,2.7
114103,MILTRACK TROLLEY ASSEMBLY,$9.11,$329.11,10.3
114200,"ANCHOR WEIGHT,25.4KG",$1.37,$74.37,25.4
114201,LIGHT LINE 12MM (M),$9.18, $-   ,0.1
114202,SISAL ROPE 20MM (M),$0.22,$1.25,0.3
114203,SHACKLES ALL SIZES,$1.81,$28.44,0
114500,MK2 R/RIG NOSE BEAM,$17.84,$127.58,9
114505,MK2 R/RIG MAIN BEAM,$17.84,$125.08,9
114510,MK2 R/RIG SUPPORT BRACKET,$2.23,$53.33,1.5
114515,MK2 R/RIG SPLICE PLATE SET,$0.97,$59.06,6.5
114520,MK2 R/RIG HANGER BRACKET,$0.51,$30.72,2.5
114525,COUNTERWEIGHT STEEL,$1.68,$77.41,25
114539,PARAPET HANGERS,$5.57,$470.62,
114540,JIB HEAVY DUTY OUTER COMP.,$13.83,$631.04,
114541,JIB HEAVY DUTY INNER COMP.,$13.83,$405.00,
114600,ALPHA WINCH ELECTRIC,$199.43,"$7,395.57",59
114601,ALPHA WINCH CONTROL ELEC,$8.96,$308.15,3
114602,ALPHA WINCH AIR,$262.87,"$10,638.24",58
114603,ALPHA SKYLOCK O/SPEED BRAKE,$22.06,$809.49,4
114604,ALPHA WINCH COVER (ELEC),$0.72,$112.60,0.3
114610,ALPHA ELEC. DIST. BOX,$31.94,"$1,179.26",10.2
114617,WINCH BOX,$58.30,$426.67,
114618,STIRRUP STRAP,$58.30,$472.89,
114619,DIST.BOX WINCH EXTENSION ,$11.62,$387.00,13.5
114620,ALPHA WIRE ROPE 9MM 4/36 25M,$17.60,$124.44,8.5
114622,ALPHA WIRE ROPE 9MM 4/36 50M,$35.19,$248.89,17
114624,ALPHA WIRE ROPE 9MM 4/36 75M,$52.77,$373.34,25.5
114626,ALPHA WIREROPE 9MM 4/36 100M,$70.36,$497.78,34
114628,ALPHA WIREROPE 9MM 4/36 125M,$87.96,$622.22,42.5
114630,ALPHA WIRE ROPE (METRES),$0.71,$4.98,
114641,ELEC FLEX 25A 56/0.30 P. MT,$0.49,$16.01,2.7
114642,ELEC FLEX SINGLE WINCH ADAPT,$2.17,$71.11,0.4
114653,AIR FILTER/LUBRICATOR UNIT,$15.63,$810.67,8
114658,AIRHOSE YOKE FOR 5.4M CRADLE,$4.59,$235.63,4.3
114700,3 WAY ALPHA ELEC.DIST.BOX,$35.19,"$2,610.24",
117000,PROP NO. 0 ,$3.20,$62.48,13.6
117001,PROP NO. 1 ,$3.20,$75.14,19.5
117002,PROP NO. 2,$3.20,$79.98,21.8
117003,PROP NO. 3 ,$3.20,$85.71,24.5
117004,PROP NO. 4,$3.20,$108.25,30.9
117012,PROP KSI NO. 2,$3.05,$82.66,16
117013,PROP KSI NO. 3,$3.05,$86.09,18
117100,"MILCENTRE, MK1, LARGE",$2.28,$99.76,38
117101,"MILCENTRE, MK1, SMALL",$2.28,$71.84,22.7
117110,(117000)PROP NO. 0 - GALV,$3.05,$63.96,
117111,(117001)PROP NO. 1 - GALV,$3.05,$80.43,
117112,(117002)PROP NO. 2 - GALV,$3.05,$84.30,
117113,(117003)PROP NO. 3 - GALV,$3.05,$90.29,
117150,PROP INNER NO. 0,$0.81,$19.90,
117151,PROP INNER NO. 1,$0.81,$24.84,
117152,PROP INNER NO. 2,$0.81,$28.89,
117153,PROP INNER NO. 3,$0.81,$34.07,
117154,PROP INNER NO. 4,$0.81,$47.70,
117155,PROP OUTER,$1.17,$68.83,
117174,CONNECTOR LOCKING PIN,$0.28,$3.26,
117201,"SHORE-X BASE FRAME, SX1",$1.90, $-   ,35.9
117203,"SHORE-X EXTENSION FRAME, SX3",$1.56, $-   ,28
117204,"SHORE-X ADAPTOR PIN, SX4",$0.44,$30.15,0.5
117205,"SHORE-X END BRACE,4FT,SX5",$0.62, $-   ,7.3
117210,FRAME CONNECTOR MSH20,$0.06, $-   ,0.9
117211,PIN & CHAIN,$0.29,$2.69,
117212,FLAT BASE MSH41,$0.25, $-   ,3.4
117214,U FORK HEAD MSHU8,$0.25, $-   ,3.1
117300,FORMWORK FRAME CONNECTOR,$0.23,$6.19,1
117301,FORMWORK FRAME 0.9M,$1.48,$61.64,23
117302,FORMWORK FRAME 1.2M ,$1.55,$70.61,27
117303,FORMWORK FRAME 1.5M,$1.71,$79.50,29
117304,FORMWORK FRAME 1.8M,$1.85,$85.26,33
117305,(117301)FORMWORK FRAME 0.9M - GAL,$1.48,$68.90,23
117306,(117302)FORMWORK FRAME 1.2M - GAL,$1.55,$78.12,27
117307,(117303)FORMWORK FRAME 1.5M - GAL,$1.71,$88.21,29
117308,(117304)FORMWORK FRAME 1.8M - GAL,$1.85,$94.78,33
117309,FORMWORK FRAME EXTENTION,$0.97,$29.63,
117310,FORMWORK TELESCOPIC FRAME,$1.55,$86.44,
117434,SF34 X BRACE,$0.57,$15.44,5.4
117435,SF35 X BRACE,$0.57,$18.65,6.3
117436,SF36 X BRACE,$0.57,$18.65,
117444,SF44 X BRACE,$0.57,$15.44,
117445,SF45 X BRACE,$0.57,$18.65,7.2
117446,SF46 X BRACE,$0.57,$18.65,
117454,SF54 X BRACE,$0.57,$18.65,6.7
117455,SF55 X BRACE,$0.57,$18.65,7.6
117456,SF56 X BRACE,$0.57,$21.20,
117458,SF58 X BRACE,$0.57,$32.43,
117464,SF64 X BRACE,$0.57,$18.65,7.6
117465,SF65 X BRACE,$0.57,$18.65,8.6
117466,SF66 X BRACE,$0.57,$20.72,9.5
117500,COLUMN CLAMP WEDGE,$0.08,$0.82,
117501,COLUMN CLAMP - 1,$0.78,$14.71,
117502,COLUMN CLAMP - 2,$0.78,$19.10,
117503,COLUMN CLAMP - 3,$0.78,$22.54,
117600,ADJ. COLLAR,$1.23,$37.71,
117601,FORMWORK BASE PLATE,$0.28,$13.80,
117602,LINK SPACE,$0.23,$2.83,
117603,G/R POST (FORMWORK),$1.79,$130.38,
118024,SOLDIER 2.4M,$3.29, $-   ,25.1
118027,SOLDIER 2.7M,$3.68, $-   ,28.3
118036,SOLDIER 3.6M,$4.91, $-   ,37.7
118045,SOLDIER 4.5M,$6.16, $-   ,47.1
118048,SOLDIER 4.8M,$6.55, $-   ,50.3
118055,SOLDIER 5.5M,$7.51, $-   ,57.6
118061,SOLDIER 6.1M,$8.35, $-   ,63.9
118072,SOLDIER 7.2M,$9.86, $-   ,75.4
118081,SOLDIER 8.1M,$11.08, $-   ,84.8
118100,LIGHT BEAM CLIP,$0.07, $-   ,0
118110,JOINING UNIT,$0.32, $-   ,0
118118,LIGHTBEAM 1.8M,$1.90, $-   ,5
118124,LIGHTBEAM 2.4M,$2.57, $-   ,6.6
118136,LIGHTBEAM 3.6M,$3.82, $-   ,9.9
118148,LIGHTBEAM 4.8M,$5.08, $-   ,13.2
118155,LIGHTBEAM 5.5M,$5.85, $-   ,15.1
118161,LIGHTBEAM 6.1M,$6.46, $-   ,16.8
118173,LIGHTBEAM 7.3M,$7.74, $-   ,20.1
118202,RAKER ADJUSTABLE,$246.26, $-   ,0
119001,SOLDIER RIGHT HAND 7.5M,$7.22,$497.78,
119002,SOLDIER LEFT HAND 7.5M,$7.22,$497.78,
119003,SOLDIER RIGHT HAND 9.8M,$8.16,$561.14,
119004,SOLDIER LEFT HAND 9.8M,$8.16,$561.14,
119012,SOLDIER EXTENSION 4.5M,$3.06,$210.42,
119101,FOOT CONNECTION BRACKET,$0.56,$38.02,
119102,PUSH-PULL CONNECTION BRACKET,$0.25,$16.51,
119103,PUSH-PULL SLAB BRACKET,$0.27,$19.68,
119104,PUSH-PULL SHORE,$2.64,$181.01,
119105,UPPER LIFTING BRACKET,$0.24,$15.27,
119106,LOWER LIFTING BRACKET,$0.38,$27.15,
119110,FOOT ASSEMBLY,$1.97,$135.64,
119111,ADJUSTABLE FOOT PAD,$0.38,$27.15,
119112,"LOAD PIN R"" CLIP""",$0.04,$3.40,
119115,FOOT SIDE PLATE,$0.66,$23.19,
119116,FOOT SIDE PLATE WITH NUT,$0.66,$27.33,
119117,FOOT SIDE PLATE SPACER,$0.66,$8.13,
119118,8.8 HT BOLT M20 x 120MM GALV,$0.66,$2.93,
119119,8.8 NUT M20 GALV,$0.66,$1.31,
119120,WASHER M20 GALV,$0.66,$1.31,
119200,SCREEN PANEL 3020 x 2420,$5.82,$373.76,
119201,SCREEN PANEL 3020 x 1220,$3.92,$269.26,
119202,SCREEN PANEL 3020 x 620,$2.70,$172.51,
119204,SCREEN PANEL 2420 x 1220,$3.64,$196.93,
119205,SCREEN U BOLT (SINGLE),$3.64,$6.46,
119206,SCREEN U BOLT (DOUBLE),$3.64,$6.63,
119300,WING PANEL 1020 x 3020,$3.77,$259.08,
119301,WING PANEL 1020 x 2420,$3.14,$185.39,
119305,WING PANEL 520 x 2420,$2.12,$135.20,
119400,SCREEN PANEL CONNECTING CLIP,$0.01,$6.33,
119401,90DEG WING PANEL CLIP,$0.25,$10.18,
119402,45DEG WING PANEL CLIP,$0.19,$10.18,
119403,TRAILING SCREEN HINGE,$0.19,$10.18,
119404,TRAILING SCREEN CHAIN,$0.20,$10.87,
119406,PLY STRAP 900MM,$0.09,$8.57,
119408,TUBE SADDLE CLAMP,$0.24,$15.85,
119409,PLY FLAP BRACKET,$0.05,$36.34,
119410,PLY RETAIN CLIP WITH CHAIN,$0.09,$8.70,1
119790,KWIKSCREEN WING NUT 16MM,$0.05,$2.99,
119791,K/SCREEN Z BAR 16MM - PER MTR,$0.09,$4.53,
119793,KWIKSCREEN CONDUIT 32MM,$0.05,$1.74,
119794,KWIKSCREEN CAPS (BLUE)38MM,$0.04,$0.37,
119796,KWIKSCREEN WING PANEL SPEC,$2.23,$88.89,
119797,KWIKSCREEN 50MM LONG HEX NUT,$0.07,$3.02,
119798,KWIKSCREEN ANCHOR BASE PL,$0.04,$0.80,
120006,PLY HOARDING PANEL 0.6M,$4.42,$186.21,22
120012,PLY HOARDING PANEL 1.2M,$5.78,$239.43,36
120100,HOARD. C/WEIGHT CARRIER BKT,$0.80,$50.40,6.2
120118,BUFFER RAIL C/WEIGHT 1.8M,$2.02,$125.22,132
120124,BUFFER RAIL C/WEIGHT 2.4M,$2.02,$129.11,176
120210,NOT TO BE USED,$0.00, $-   ,
120220,HOARD. END COVER PANEL,$2.10,$87.44,14.9
120230,HOARD. TOP COVER PANEL 1.2M,$1.01,$41.43,6.4
120235,HOARD. TOP MESHGUARD 1.8M,$2.69,$111.51,8.2
120240,HOARD. TOP MESHGUARD 2.4M,$3.56,$148.67,10.9
125001,KFI 003 LADDER CEE 5.49M,$0.59,$0.31,0
147000,SHADECLOTH (ROLL), $-   ,$169.31,18
147001,WOOD PALLET, $-   ,$23.70,
147002,DRUM - 200 LITRE, $-   ,$23.70,
