!File Type,Version Number Major,Version Number Minor,Version Number Build,
~Stock Code File,1,5,1,
!Last Updated,20040313,,,
!Code,Desc, Hire , Sale ,Kg
155739,K/SNAP BEV PLY 922X560X15MM, $-   ,$21.50,
155740,K/SNAP BEV PLY 723X560X15MM, $-   ,$17.00,
155741,K/SNAP GRASPER SPRING, $-   ,$0.35,
155742,K/SNAP GRASPER PIN, $-   ,$2.98,
155743,K/SNAP GRASPER SPLIT PIN, $-   ,$0.40,
155744,K/SNAP H/BOLT PINS-PL/STEEL, $-   ,$0.53,
155745,K/SNAP H/BOLT COLLARS-PL/ST, $-   ,$0.12,
155746,K/SNAP HTCH TUBE 25X3MMX6.5M, $-   ,$27.83,
155747,K/SNAP FRAME GUSSET 12X4M, $-   ,$16.91,1.2
155748,K/SNAP TEE JOINER CASTING, $-   ,$8.97,
155749,K/SNAP SPIGOT CASTING, $-   ,$12.10,
155750,K/SNAP GRASPER CASTING, $-   ,$9.93,
155751,K/SNAP GRASPER ASSEMBLY, $-   ,$13.87,
155752,K/SNAP LH SUPPORT HOOK, $-   ,$12.06,
155753,K/SNAP RH SUPPORT HOOK, $-   ,$12.06,
155754,K/SNAP DOUBLE TEE CASTING, $-   ,$6.99,
155800,VEE PRESSING, $-   ,$0.72,
155801,1/2 ROUND PRESSING PLAIN, $-   ,$1.73,
155802,1/2 ROUND PRESSING HOLED, $-   ,$1.73,
155803,BOX WEDGE, $-   ,$3.13,
155804,TEE PIN, $-   ,$2.16,
155805,CURVED WASHER, $-   ,$0.28,
155806,CEE PRESSING, $-   ,$3.39,
155807,BANANA, $-   ,$1.40,
155808,"U"" PRESSING PLAIN""", $-   ,$1.58,
155809,"U"" PRESSING EARED SPLAYED""", $-   ,$2.73,
155810,"7 WEDGE""", $-   ,$1.00,
155811,"6 WEDGE""", $-   ,$0.90,
155812,PALLET CUP HOLED, $-   ,$5.12,
155813,PALLET CUP PLAIN, $-   ,$4.74,
155900,RUBBER FEET, $-   ,$0.31,
155901,R.H. SUPPORT HOOK, $-   ,$0.31,
155902,L.H. SUPPORT HOOK, $-   ,$0.31,
155903,GREEN PAINT/10ML UNITS, $-   , $-   ,
155904,C/WHEEL (FLEXELLO), $-   , $-   ,
155910,ADJ.CASTOR SPINDLE & NUT, $-   , $-   ,
156001,KFI 004 TREAD 6.1M LNS, $-   , $-   ,
156002,KFI 005 STILE 4.9M LNS, $-   , $-   ,
156003,40NB M/GAL PE LNS, $-   , $-   ,
156004,40NB H/BLK PE 6.0M LNS, $-   , $-   ,
156005,40NB H/BLK PE 6.5M LNS, $-   , $-   ,
156006,40NB H/BLK PE 6.93M LNS, $-   , $-   ,
156007,40X40X4 RMS 8M LNS, $-   , $-   ,
156008,50X50X4 RMS 8M LNS, $-   , $-   ,
156009,100X50X2.5 RHS 8M LNS, $-   , $-   ,
156010,40X3 M/S FLAT 6M LNS, $-   , $-   ,
156011,40X5 M/S FLAR 6M LNS, $-   , $-   ,
156012,RETURN TRANSOM GUSSET (PR), $-   , $-   ,
156013,19 OD X 2.0 TUBE METRE, $-   , $-   ,
156014,25NB LIGHT PIPE 6.5M LNS, $-   , $-   ,
156015,50X50X5 ANGLE 100MM UNITS, $-   , $-   ,
156016,64X51X6.5 M/S ANGLE 100MM, $-   , $-   ,
156017,40X6 FLAT X 6 METRE, $-   , $-   ,
156018,50X5 FLAT 6 METRE, $-   , $-   ,
156019,50X10 FLAT 6 METRE, $-   , $-   ,
156020,12.7 OD BRT ROD / KG, $-   , $-   ,
156021,16 DIAM M/S ROD 6 METRE, $-   , $-   ,
156022,25X5 FLAT 6M LNS, $-   , $-   ,
156023,45X8 K1070 FLAT/KG, $-   , $-   ,
156024,HA 200 P/OILED PLATE/KG, $-   , $-   ,
156025,50X6 U1004 FLAT/KG, $-   , $-   ,
156026,39MM M/S ROUND 100MM UNITS, $-   , $-   ,
156027,1200 RETURN TRANSOM PRESS, $-   , $-   ,
156028,3 S.B. GUSSET, $-   , $-   ,
156029,30X30X6 ANGLE/METRES, $-   , $-   ,
156030,1 1/2X1/2 BSW BLK SET SCREW, $-   , $-   ,
156031,"U"" HEAD PRESSING""", $-   , $-   ,
156032,25X25X5 M/S ANGLE, $-   , $-   ,
156033,40X40X5 ANGLE 7.5M, $-   , $-   ,
156034,50X50X5 ANGLE 9M, $-   , $-   ,
156035,BRICKGUARD TOP HOOK, $-   , $-   ,
156036,BRICKGUARD BOTTOM FOOT, $-   , $-   ,
172001,K/FOLD 1.2 STAIR TREAD 938, $-   , $-   ,
172002,K/FLD HALFUNIT STEELBD 968MM, $-   , $-   ,
172003,K/FOLD STAIR TREAD 610MM, $-   , $-   ,
172004,M16X95MM M/HEAD BOLT, $-   , $-   ,
172005,K/FOLD UNIT KICKBD 2166MM, $-   , $-   ,
172006,K/FLD HALFUNIT KICKBD 1004MM, $-   , $-   ,
172007,M16 X 25MM BOLT Z/P, $-   , $-   ,
172008,5/8 X 56MM RIVET, $-   , $-   ,
172009,5/8 X 70MM RIVET, $-   , $-   ,
172010,M16X25MM OD.ROD COUPL BLKL, $-   , $-   ,
172011,SHORT LOCK BRKT (PLATFORM), $-   , $-   ,
172012,LONG LOCK BRKT (PLATFORM), $-   , $-   ,
172013,50MM M CLIP, $-   , $-   ,
172014,38 OD X 3.2 ERW TUBE/M, $-   , $-   ,
172015,64X64X4.9MM RHS F/HEAD M/G, $-   , $-   ,
172016,200MM SPIGOT UNIT GALV, $-   , $-   ,
172017,250MM SPIGOT UNIT GALV, $-   , $-   ,
172018,M16 GALV NUT EACH, $-   , $-   ,
172019,M16 GALV WASHER EACH, $-   , $-   ,
172020,K/FOLD H/RAIL SECTION 2166, $-   , $-   ,
172021,K/FOLD H/RAIL SECTION 1004, $-   , $-   ,
172022,40 NB H/GAL TUBE MTRS, $-   , $-   ,
172023,50X50 4.0MM RHS BLK, $-   , $-   ,
172024,M16 X 120MM BOLT Z/P, $-   , $-   ,
172025,K/FOLD MESH 2950 X 1050, $-   , $-   ,
172026,K/FOLD MESH 1950 X 1050, $-   , $-   ,
172027,K/FOLD PLATFORM UNFINISHED, $-   , $-   ,
172034,K/FOLD MESH PANEL 6M X 2.3M,$6.38,$613.20,
172035,K/FOLD MESH PANEL 4M X2.3M,$4.53,$432.40,
172037,K/FOLD HALF UNIT PLATFORM,$2.18,$210.30,
172048,K/FOLD UNIT PLATFORM,$2.38,$228.94,
172049,K/FOLD STAIR PFORM 0.7M,$1.47,$122.13,
172050,K/FOLD STAIR PFORM 1.2M,$1.28,$140.64,
180000,SOLEBOARDS .5M, $-   , $-   ,
180900,0.9M (N) FRAME,$0.50,$55.20,5
180901,0.9M (W) FRAME,$0.50,$55.20,7.5
180902,1.5M (N) FRAME,$0.50,$55.20,7.5
180903,1.5M (W) FRAME,$0.50,$55.20,10.5
180904,1.2M FRAME,$0.50,$55.20,8.5
180905,LONG BRACES,$0.22,$20.24,3
180906,SHORT BRACES,$0.22,$20.24,4.5
180907,HANDRAILS,$0.25,$6.44,5.7
180908,HANDRAIL POSTS,$0.25,$9.20,6.3
180909,JOINT PINS,$0.15,$5.06,1
180910,1.8M FIBREGLASS BOARDS,$1.07,$69.92,13.6
180911,4.2M KARRI,$1.58,$130.04,31.7
180912,1.8M STEEL BOARDS,$1.07,$41.86,13
180913,BALCONY POSTS,$1.68,$73.60,7.8
180940,6.0M LADDER,$5.31,$268.63,14.1
180941,5.4M LADDER,$4.58,$238.36,12.7
180942,4.8M LADDER,$4.37,$219.08,11.4
180943,M/S 1 STEP BRACKET, $-   ,$40.58,3.5
180944,DM STAIR SPIGGOT, $-   ,$37.99,3.7
SP9001,TIE CLAMP COLUMN (HEAD ONLY),$0.63,$55.16,9.4
SP9002,TIE CLAMP YOKE (HEAD ONLY),$1.16,$100.56,15.6
SP7001,TIE CLAMP COLUMN (HEAD ONLY),$0.63,$55.16,9.4
SP7002,TIE CLAMP YOKE (HEAD ONLY),$1.16,$100.56,15.6
SP9003,INT CRN FILLER 1x1,$0.60,$33.76,2.83
SP9004,INT CRN FILLER 3x3,$3.53,$202.56,16.95
SP9005,INT CRN FILLER 1x2 RIGHT,$1.76,$101.28,8.48
SP9006,INT CRN FILLER 1x3 RIGHT,$2.35,$135.04,11.3
SP9007,INT CRN FILLER 1x2 LEFT,$1.76,$101.28,8.48
SP9008,INT CRN FILLER 2x3 RIGHT,$2.94,$168.80,14.13
SP9009,INT CRN FILLER 1x3 LEFT,$2.35,$135.04,11.3
SP9010,INT CRN FILLER 2x3 LEFT,$2.94,$168.80,14.13
SP9011,DO NOT USE, $-   ,$-,0
SP9012,SOLEBOARDS 2.7M, $-   ,$-,0
SP7003,INT CRN FILLER 1x1,$0.60,$33.76,2.83
SP7004,INT CRN FILLER 3x3,$3.53,$202.56,16.95
SP7005,INT CRN FILLER 1x2 RIGHT,$1.76,$101.28,8.48
SP7006,INT CRN FILLER 1x3 RIGHT,$2.35,$135.04,11.3
SP7007,INT CRN FILLER 1x2 LEFT,$1.76,$101.28,8.48
SP7008,INT CRN FILLER 2x3 RIGHT,$2.94,$168.80,14.13
SP7009,INT CRN FILLER 1x3 LEFT,$2.35,$135.04,11.3
SP7010,INT CRN FILLER 2x3 LEFT,$2.94,$168.80,14.13
SP7011,DO NOT USE, $-   ,$-,0
SP7012,SOLEBOARDS 2.7M, $-   ,$-,0
SP7013,SHADECLOTH (M^2), $-   ,$1.61,0.2
SP7014,CHAIN WIRE MESH (M^2), $-   ,$3.15,2.3
TEXT,DO NOT USE, $-   ,$-,0
